Block,Price Oracle 0,Price Oracle 1,Price Scale 0,Price Scale 1,Fee,VP,A,Gamma,Fee_Gamma,D,lp_price,xcp_profit,xcp_profit_a
8640709,42655373775515683024752,2293158967993690745692,42660019991897077481910,2293640550090346077652,103098080,1003974838840199589,1956049,51326752580217,7200000000000,1361824923017982231434004,1387836661716079953835,1007823680790294860,1007823671410476148
8641236,42652622867326509617379,2292873611688141804667,42660019991897077481910,2293640550090346077652,103098080,1003974838840199589,1948521,51481856632175,7200000000000,1361824923017982231434004,1387836661716079953835,1007823680790294860,1007823671410476148
8641763,42649644237681823115494,2292564347620380912007,42653936160591304657431,2293009731819458279971,101077125,1003975307311919562,1940992,51636960684133,7200000000000,1361640285572392760711318,1387639060011133563472,1007824249767643938,1007824242585158065
8642290,42646310761497510357470,2292222041460559387697,42646126773920261280965,2292199732014756465397,55308257,1003977545860325722,1933463,51792064736091,7200000000000,1361401817146837729823612,1387462710875954801713,1007826750629339291,1007824281314645497
8642817,42647879168083436744026,2292400067174013303976,42646942025877228325831,2292292984160103102153,54767565,1003976912433936994,1925935,51947168788050,7200000000000,1361431028535748242546809,1387512783514109559392,1007825524929053097,1007825522867420605
8643344,42648452177048908077842,2292465438560824594685,42646942025877228325831,2292292984160103102153,54767565,1003976912433936994,1918406,52102272840008,7200000000000,1361431028535748242546809,1387512783514109559392,1007825524929053097,1007825522867420605
8643871,42649388008907824245096,2292572050930674411317,42648090727189068772280,2292424158282041655685,54024159,1003976905848646116,1910877,52257376891966,7200000000000,1361472213768035295672352,1387546339033996671350,1007825547344500580,1007825544442737057
8644398,42649769295652848235800,2292615326668445342004,42648397805058226405919,2292459161573889955449,55823539,1003977019039277315,1903349,52412480943924,7200000000000,1361482564387762175417343,1387584628163920633969,1007825671816838764,1007825544442737057
8644925,42650348401783393676301,2292637772332044641666,42650104570203121558815,2292643532735078402856,20796988,1003977514413931901,1895820,52567584995882,7200000000000,1361542445468731616243460,1387602343497036085007,1007826160696117340,1007825632836585039
8645452,42650843030408794898476,2292551060518728106911,42650572238515498227842,2292610996733936802630,33386489,1003978013395890342,1888291,52722689047841,7200000000000,1361541657865786911633673,1387598626703298332546,1007826672244939757,1007825632836585039
8645979,42650292374479018202922,2292315260851517933667,42650805583908106296841,2292478248493831865898,69651077,1003980448920471355,1880763,52877793099799,7200000000000,1361521164265042154451913,1387571735311308201256,1007829161901174461,1007825632836585039
8646506,42649581400045780705832,2292098721804754657873,42649866407652944387822,2292185505812575796973,68965686,1003979608465105206,1873234,53032897151757,7200000000000,1361459866124838918277071,1387488083109360660080,1007827504632316338,1007827502370639167
8647033,42647917312565751752844,2291546431163349820697,42648239379473805408203,2291786792563197456272,105594229,1003989492466756305,1865706,53188001203715,7200000000000,1361864039091033417813646,1387389160642977589622,1007836105097854646,1007830535228451885
